#log
1752576317.310905,1752576317.3099058,2,neutral
1752576348.6933115,1752576348.6933115,102,neutral
1752576348.816469,1752576348.816469,5,resting
1752576648.931303,1752576648.928887,105,resting
1752576648.9798074,1752576648.9787965,200,resting
1752634373.0170443,1752634373.0160415,1,resting
1752634375.6123056,1752634375.611299,100,resting
1752634392.2660518,1752634392.265049,3,positive
1752634425.0560346,1752634425.055008,103,positive
1752634441.300285,1752634441.2987833,2,neutral
1752634472.886289,1752634472.8840036,102,neutral
1752634489.113424,1752634489.113424,1,negative
1752634520.4741998,1752634520.4721043,101,negative
1752634536.736816,1752634536.736816,2,neutral
1752634571.0108132,1752634571.00921,102,neutral
1752634587.2710958,1752634587.270095,3,positive
1752634623.0666723,1752634623.0650437,103,positive
1752634639.2874563,1752634639.285378,2,neutral
1752634670.155769,1752634670.154559,102,neutral
1752634686.3836167,1752634686.3826199,1,negative
1752634718.5568929,1752634718.5568929,101,negative
1752634734.780406,1752634734.7793963,2,neutral
1752634767.0541675,1752634767.052106,102,neutral
1752634783.290496,1752634783.2894878,3,positive
1752634814.6641512,1752634814.662831,103,positive
1752634830.867321,1752634830.865809,2,neutral
1752634862.6553903,1752634862.6529825,102,neutral
1752634878.8487313,1752634878.8472204,1,negative
1752634909.41087,1752634909.4102771,101,negative
1752634925.6089146,1752634925.607393,2,neutral
1752634956.1720095,1752634956.1710017,102,neutral
1752634972.4475298,1752634972.4475298,3,positive
1752634999.69096,1752634999.689902,103,positive
1752635016.2509353,1752635016.2506182,2,neutral
1752635047.4332178,1752635047.4322112,102,neutral
1752635063.514845,1752635063.5133796,1,negative
1752635098.1037052,1752635098.1027,101,negative
1752635114.359386,1752635114.359386,2,neutral
1752635145.5274763,1752635145.5253189,102,neutral
1752635161.7258294,1752635161.7258294,3,positive
1752635193.003186,1752635193.0014925,103,positive
1752635209.2655072,1752635209.2655072,2,neutral
1752635209.3669784,1752635209.3659348,102,neutral
1752635225.2596982,1752635225.2596982,1,negative
1752635263.7697542,1752635263.7691743,101,negative
1752635279.9638455,1752635279.9628396,2,neutral
1752635312.9514005,1752635312.9488146,102,neutral
1752635313.1887877,1752635313.1878266,5,resting
1752635613.3119965,1752635613.3104732,105,resting
1752635613.3694222,1752635613.3689072,200,resting
1761614887.4582498,1761614887.4567475,1,resting
1761614890.0926144,1761614890.091617,100,resting
1761614908.3134632,1761614908.3124661,3,positive
1761614941.2920744,1761614941.2920744,103,positive
1761614957.625457,1761614957.625457,2,neutral
1761614990.9375546,1761614990.9375546,102,neutral
1761615007.4024627,1761615007.4024627,1,negative
1761615042.196284,1761615042.196284,101,negative
1761615058.6446981,1761615058.6431916,2,neutral
1761615091.2277668,1761615091.2277668,102,neutral
1761615108.9718444,1761615108.9708426,3,positive
1761616247.223791,1761616247.221412,1,resting
1761616249.3495152,1761616249.3485103,100,resting
1761616266.1638627,1761616266.1638627,3,positive
1761616299.5453303,1761616299.5453303,103,positive
1761616299.7311332,1761616299.729873,2,neutral
1761616428.9598317,1761616428.958816,1,resting
1761616430.915967,1761616430.915967,100,resting
1761616447.2419102,1761616447.2419102,3,positive
1761616483.2395387,1761616483.2395387,103,positive
1761616483.4406745,1761616483.4406745,2,neutral
1761616514.9105144,1761616514.9105144,102,neutral
1761616531.1296349,1761616531.1296349,1,negative
1761616561.795785,1761616561.795785,101,negative
1761616562.012717,1761616562.012717,2,neutral
1761616594.4262505,1761616594.4262505,102,neutral
1761616610.6696367,1761616610.6696367,3,positive
1761616642.1298206,1761616642.1298206,103,positive
1761616658.3722677,1761616658.3707793,2,neutral
1761616690.246915,1761616690.246915,102,neutral
1761616706.4740531,1761616706.4730427,1,negative
1761616738.0395458,1761616738.0395458,101,negative
1761616754.2517514,1761616754.2517514,2,neutral
1761616784.9214873,1761616784.9214873,102,neutral
1761616801.154336,1761616801.154336,3,positive
1761616828.502836,1761616828.502836,103,positive
1761616844.7329426,1761616844.73194,2,neutral
1761616876.5044935,1761616876.5044935,102,neutral
1761616892.945409,1761616892.945409,1,negative
1761616929.2410266,1761616929.2410266,101,negative
1761616945.4569147,1761616945.4569147,2,neutral
1761616976.4297993,1761616976.4297993,102,neutral
1761616992.554619,1761616992.5536225,3,positive
1761617024.130652,1761617024.130652,103,positive
1761617040.354842,1761617040.3538458,2,neutral
1761617074.8381739,1761617074.8381739,102,neutral
1761617091.0635958,1761617091.0622032,1,negative
1761617130.1611981,1761617130.1611981,101,negative
1761617146.377835,1761617146.377835,2,neutral
1761617178.5505579,1761617178.5505579,102,neutral
1761617194.7647953,1761617194.7647953,3,positive
1761617227.6393464,1761617227.6393464,103,positive
1761617243.8607173,1761617243.8607173,2,neutral
1761617275.1371467,1761617275.1371467,102,neutral
1761617291.3761208,1761617291.3761208,1,negative
1761617326.0583708,1761617326.0583708,101,negative
1761617342.277669,1761617342.277669,2,neutral
1761617375.3736424,1761617375.3736424,102,neutral
1764827207.6962626,1764827207.6962626,1,resting
1764827212.8852682,1764827212.8852682,100,resting
1764827394.8067236,1764827394.8054569,1,resting
1764827403.7074842,1764827403.7074842,100,resting
1764827419.9339862,1764827419.9339862,3,positive
