
2025-07-15 21:52:53,955 - 视频名称: sims_Negative_3.mp4, 播放时长: 29.85秒, 情绪类别: negative, 标签值: 1
2025-07-15 21:53:42,395 - 视频名称: Neutral_6.mp4, 播放时长: 32.15秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:54:30,330 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.64秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:55:17,549 - 视频名称: Neutral_2.mp4, 播放时长: 30.98秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:56:10,350 - 视频名称: sims_Negative_1.mp4, 播放时长: 36.48秒, 情绪类别: negative, 标签值: 1
2025-07-15 21:56:58,339 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.66秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:57:50,788 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.06秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:58:40,384 - 视频名称: Neutral_1.mp4, 播放时长: 33.21秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:59:26,775 - 视频名称: sims_Negative_5.mp4, 播放时长: 29.99秒, 情绪类别: negative, 标签值: 1
2025-07-15 22:00:14,360 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.24秒, 情绪类别: neutral, 标签值: 2
2025-07-15 22:01:03,426 - 视频名称: sims_Positive_1.mp4, 播放时长: 32.79秒, 情绪类别: positive, 标签值: 3
2025-07-15 22:01:50,418 - 视频名称: Neutral_4.mp4, 播放时长: 30.75秒, 情绪类别: neutral, 标签值: 2
2025-07-15 22:02:50,080 - 视频名称: sims_Negative_4.mp4, 播放时长: 43.39秒, 情绪类别: negative, 标签值: 1
2025-07-15 22:03:38,120 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.48秒, 情绪类别: neutral, 标签值: 2
2025-07-15 22:04:21,551 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.23秒, 情绪类别: positive, 标签值: 3


2025-10-28 09:29:01,292 - 视频名称: sims_Positive_1.mp4, 播放时长: 32.98秒, 情绪类别: positive, 标签值: 3
2025-10-28 09:29:50,937 - 视频名称: Neutral_1.mp4, 播放时长: 33.31秒, 情绪类别: neutral, 标签值: 2
2025-10-28 09:30:42,196 - 视频名称: SEED-IV-Negative2.mp4, 播放时长: 34.79秒, 情绪类别: negative, 标签值: 1
2025-10-28 09:31:31,227 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.58秒, 情绪类别: neutral, 标签值: 2
2025-10-28 09:51:39,545 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.38秒, 情绪类别: positive, 标签值: 3
2025-10-28 09:54:43,239 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.00秒, 情绪类别: positive, 标签值: 3
2025-10-28 09:55:14,910 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.47秒, 情绪类别: neutral, 标签值: 2
2025-10-28 09:56:01,795 - 视频名称: SEED-IV-Negative4.mp4, 播放时长: 30.67秒, 情绪类别: negative, 标签值: 1
2025-10-28 09:56:34,426 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.41秒, 情绪类别: neutral, 标签值: 2
2025-10-28 09:57:22,129 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.46秒, 情绪类别: positive, 标签值: 3
2025-10-28 09:58:10,246 - 视频名称: Neutral_5.mp4, 播放时长: 31.87秒, 情绪类别: neutral, 标签值: 2
2025-10-28 09:58:58,039 - 视频名称: SEED-IV-Negative5.mp4, 播放时长: 31.57秒, 情绪类别: negative, 标签值: 1
2025-10-28 09:59:44,921 - 视频名称: Neutral_4.mp4, 播放时长: 30.67秒, 情绪类别: neutral, 标签值: 2
2025-10-28 10:00:28,502 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.35秒, 情绪类别: positive, 标签值: 3
2025-10-28 10:01:16,504 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.77秒, 情绪类别: neutral, 标签值: 2
2025-10-28 10:02:09,241 - 视频名称: SEED-IV-Negative1.mp4, 播放时长: 36.30秒, 情绪类别: negative, 标签值: 1
2025-10-28 10:02:56,429 - 视频名称: Neutral_2.mp4, 播放时长: 30.97秒, 情绪类别: neutral, 标签值: 2
2025-10-28 10:03:44,130 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.58秒, 情绪类别: positive, 标签值: 3
2025-10-28 10:04:34,838 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.48秒, 情绪类别: neutral, 标签值: 2
2025-10-28 10:05:30,161 - 视频名称: SEED-IV-Negative3.mp4, 播放时长: 39.10秒, 情绪类别: negative, 标签值: 1
2025-10-28 10:06:18,550 - 视频名称: Neutral_3.mp4, 播放时长: 32.17秒, 情绪类别: neutral, 标签值: 2
2025-10-28 10:07:07,639 - 视频名称: sims_Positive_1.mp4, 播放时长: 32.87秒, 情绪类别: positive, 标签值: 3
2025-10-28 10:07:55,137 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.28秒, 情绪类别: neutral, 标签值: 2
2025-10-28 10:08:46,058 - 视频名称: SEED-IV-Negative2.mp4, 播放时长: 34.68秒, 情绪类别: negative, 标签值: 1
2025-10-28 10:09:35,373 - 视频名称: Neutral_1.mp4, 播放时长: 33.10秒, 情绪类别: neutral, 标签值: 2
2025-10-28 11:28:20,693 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.48秒, 情绪类别: positive, 标签值: 3
